id,name,category,subcategory,rarity,professions,region,short_summary,icon
30168,Iron-banded Bud,Ingredient,Mushroom,Uncommon,Woodworking,Glimmerdeep,"Glimmerdeep mushroom ingredient: smells faintly of cedar, often a armor patching.",ingredient_iron_banded_bud.png
30169,Briarbound Chew,Consumable,Potion,Uncommon,Herbalism,Emberford,"Emberford potion consumable: valued for its clean burn, often a map clue.",consumable_briarbound_chew.png
30170,Brine-cured Ring of Moss,Gear,Sword,Rare,Skinning,Hollowroot,"Hollowroot sword gear: smells faintly of cedar, often a buff ingredient.",gear_brine_cured_ring_of_moss.png
30171,Soot-black Bracers,Gear,Bow,Uncommon,Herbalism,Saltmarrow,"Saltmarrow bow gear: sought by apprentices, often a buff ingredient.",gear_soot_black_bracers.png
30172,Ash-dusted Cord,Curio,Tooling,Common,None,Greatwood,"Greatwood tooling curio: carried for long treks, often a salt-proofing aid.",curio_ash_dusted_cord.png
30173,Windworn Roster,Document,Map Fragment,Uncommon,None,Emberford,"Emberford map fragment document: packed for storms, often a armor patching.",document_windworn_roster.png
30174,Faded Knot,Ingredient,Mushroom,Common,Fishing,Greatwood,"Greatwood mushroom ingredient: a staple in cold camps, often a map clue.",ingredient_faded_knot.png
30175,Cedar-scented Seed,Ingredient,Grain,Uncommon,None,Hollowroot,"Hollowroot grain ingredient: stains fingers dark, often a armor patching.",ingredient_cedar_scented_seed.png
30176,Sturdy Root,Ingredient,Grain,Uncommon,Fishing,Greatwood,"Greatwood grain ingredient: kept for superstition, often a map clue.",ingredient_sturdy_root.png
30177,Cedar-scented Warrant,Document,Ledger,Rare,None,Greatwood,"Greatwood ledger document: rings softly when shaken, often a fishing bait.",document_cedar_scented_warrant.png
30178,Briarbound Resin,Material,Wood,Common,Skinning,Frostbriar,"Frostbriar wood material: carried for long treks, often a alchemy base.",material_briarbound_resin.png
30179,Briarbound Tonic,Consumable,Potion,Uncommon,Engineering,Glimmerdeep,"Glimmerdeep potion consumable: favored by local scouts, often a crafting reagent.",consumable_briarbound_tonic.png
30180,Silt-grit Dagger,Gear,Leather,Common,Cooking,Hollowroot,"Hollowroot leather gear: sought by apprentices, often a salt-proofing aid.",gear_silt_grit_dagger.png
30181,Frostbit Grit,Ingredient,Fish,Common,Mining,Frostbriar,"Frostbriar fish ingredient: stains fingers dark, often a trap component.",ingredient_frostbit_grit.png
30182,Kelp-woven Clasp,Material,Ore,Uncommon,Alchemy,Greatwood,"Greatwood ore material: rings softly when shaken, often a buff ingredient.",material_kelp_woven_clasp.png
30183,Kelp-woven Lens,Curio,Token,Common,None,Greatwood,"Greatwood token curio: smells faintly of cedar, often a camp utility.",curio_kelp_woven_lens.png
30184,Sturdy Memo,Document,Permit,Common,None,Emberford,"Emberford permit document: carried for long treks, often a vendor staple.",document_sturdy_memo.png
30185,Iron-banded Pod,Ingredient,Fish,Uncommon,Alchemy,Frostbriar,"Frostbriar fish ingredient: a staple in cold camps, often a fishing bait.",ingredient_iron_banded_pod.png
30186,Mossy Husk,Material,Stone,Rare,Woodworking,Hollowroot,"Hollowroot stone material: packed for storms, often a alchemy base.",material_mossy_husk.png
30187,Mire-touched Pickle,Consumable,Salve,Common,Herbalism,Frostbriar,"Frostbriar salve consumable: favored by local scouts, often a crafting reagent.",consumable_mire_touched_pickle.png
30188,River-smooth Sprig,Ingredient,Fruit,Rare,Mining,Hollowroot,"Hollowroot fruit ingredient: a staple in cold camps, often a armor patching.",ingredient_river_smooth_sprig.png
30189,Tin-chimed Tally,Curio,Mask,Common,None,Glimmerdeep,"Glimmerdeep mask curio: sought by apprentices, often a buff ingredient.",curio_tin_chimed_tally.png
30190,Candle-smoke Token,Curio,Tooling,Rare,None,Hollowroot,"Hollowroot tooling curio: sought by apprentices, often a ritual prop.",curio_candle_smoke_token.png
30191,Candle-smoke Cap,Ingredient,Herb,Common,Fishing,Hollowroot,"Hollowroot herb ingredient: sought by apprentices, often a salt-proofing aid.",ingredient_candle_smoke_cap.png
30192,Sturdy Syrup,Consumable,Oil,Common,Blacksmithing,Saltmarrow,"Saltmarrow oil consumable: valued for its clean burn, often a vendor staple.",consumable_sturdy_syrup.png
30193,Tin-chimed Stone,Curio,Tooling,Common,None,Emberford,"Emberford tooling curio: a staple in cold camps, often a salt-proofing aid.",curio_tin_chimed_stone.png
30194,Harbor-wet Pin,Curio,Charm,Common,None,Hollowroot,"Hollowroot charm curio: rings softly when shaken, often a quest turn-in.",curio_harbor_wet_pin.png
30195,Frostbit Stamp,Curio,Sample Jar,Common,None,Glimmerdeep,"Glimmerdeep sample jar curio: carried for long treks, often a alchemy base.",curio_frostbit_stamp.png
30196,Kelp-woven Note,Document,Field Notes,Common,None,Greatwood,"Greatwood field notes document: carried for long treks, often a vendor staple.",document_kelp_woven_note.png
30197,Kelp-woven Syrup,Consumable,Tonic,Uncommon,Skinning,Emberford,"Emberford tonic consumable: sought by apprentices, often a fishing bait.",consumable_kelp_woven_syrup.png
30198,Soot-black Token,Curio,Tooling,Common,None,Saltmarrow,"Saltmarrow tooling curio: carried for long treks, often a salt-proofing aid.",curio_soot_black_token.png
30199,Iron-banded Tonic,Consumable,Tonic,Common,Woodworking,Glimmerdeep,"Glimmerdeep tonic consumable: traded at night markets, often a quest turn-in.",consumable_iron_banded_tonic.png
30200,Harbor-wet Biscuit,Consumable,Tea,Common,Cooking,Frostbriar,"Frostbriar tea consumable: sought by apprentices, often a vendor staple.",consumable_harbor_wet_biscuit.png
30201,Tin-chimed Marker,Curio,Mask,Uncommon,None,Glimmerdeep,"Glimmerdeep mask curio: rings softly when shaken, often a vendor staple.",curio_tin_chimed_marker.png
30202,Cedar-scented Tonic,Consumable,Potion,Common,Engineering,Glimmerdeep,"Glimmerdeep potion consumable: sought by apprentices, often a camp utility.",consumable_cedar_scented_tonic.png
30203,Silt-grit Buckler of Brine,Gear,Dagger,Common,None,Hollowroot,"Hollowroot dagger gear: favored by local scouts, often a trap component.",gear_silt_grit_buckler_of_brine.png
30204,Briarbound Syrup,Consumable,Oil,Common,Enchanting,Frostbriar,"Frostbriar oil consumable: traded at night markets, often a salt-proofing aid.",consumable_briarbound_syrup.png
30205,Briarbound Tonic,Consumable,Food,Uncommon,Alchemy,Frostbriar,"Frostbriar food consumable: favored by local scouts, often a salt-proofing aid.",consumable_briarbound_tonic.png
30206,Brine-cured Dispatch,Document,Ledger,Common,None,Frostbriar,"Frostbriar ledger document: sought by apprentices, often a ritual prop.",document_brine_cured_dispatch.png
30207,Kelp-woven Mace of Moss,Gear,Sword,Common,Herbalism,Hollowroot,"Hollowroot sword gear: recommended by old timers, often a trap component.",gear_kelp_woven_mace_of_moss.png
30208,Brine-cured Receipt,Document,Letter,Uncommon,None,Glimmerdeep,"Glimmerdeep letter document: a staple in cold camps, often a trap component.",document_brine_cured_receipt.png
30209,Mossy Knot,Curio,Mask,Rare,None,Frostbriar,"Frostbriar mask curio: favored by local scouts, often a camp utility.",curio_mossy_knot.png
30210,Salt-stained Liniment,Consumable,Tea,Uncommon,Woodworking,Emberford,"Emberford tea consumable: kept for superstition, often a fishing bait.",consumable_salt_stained_liniment.png
30211,Glowcap Pin,Curio,Token,Common,None,Hollowroot,"Hollowroot token curio: kept for superstition, often a crafting reagent.",curio_glowcap_pin.png
30212,Sturdy Pellet,Consumable,Bandage,Uncommon,None,Glimmerdeep,"Glimmerdeep bandage consumable: sought by apprentices, often a armor patching.",consumable_sturdy_pellet.png
30213,Ash-dusted Pith,Ingredient,Herb,Uncommon,Mining,Hollowroot,"Hollowroot herb ingredient: traded at night markets, often a map clue.",ingredient_ash_dusted_pith.png
30214,Lanternlit Mace of Moss,Gear,Plate,Uncommon,Herbalism,Greatwood,"Greatwood plate gear: sought by apprentices, often a fishing bait.",gear_lanternlit_mace_of_moss.png
30215,Candle-smoke Bow of the Trail,Gear,Cloth,Rare,Fishing,Saltmarrow,"Saltmarrow cloth gear: carried for long treks, often a buff ingredient.",gear_candle_smoke_bow_of_the_trail.png
30216,Frostbit Greaves of the Mire,Gear,Necklace,Common,Skinning,Emberford,"Emberford necklace gear: stains fingers dark, often a fishing bait.",gear_frostbit_greaves_of_the_mire.png
30217,Harbor-wet Wire,Material,Wood,Common,Herbalism,Saltmarrow,"Saltmarrow wood material: valued for its clean burn, often a fishing bait.",material_harbor_wet_wire.png
30218,River-smooth Pellet,Consumable,Tea,Rare,Skinning,Frostbriar,"Frostbriar tea consumable: kept for superstition, often a map clue.",consumable_river_smooth_pellet.png
30219,Iron-banded Petal,Ingredient,Mushroom,Uncommon,Woodworking,Frostbriar,"Frostbriar mushroom ingredient: favored by local scouts, often a quest turn-in.",ingredient_iron_banded_petal.png
30220,Pine-sap Lens,Curio,Tooling,Common,None,Saltmarrow,"Saltmarrow tooling curio: a staple in cold camps, often a salt-proofing aid.",curio_pine_sap_lens.png
30221,Roughspun Voucher,Document,Field Notes,Common,None,Hollowroot,"Hollowroot field notes document: common among dockhands, often a crafting reagent.",document_roughspun_voucher.png
30222,Soot-black Pellet,Consumable,Salve,Common,Fishing,Hollowroot,"Hollowroot salve consumable: recommended by old timers, often a armor patching.",consumable_soot_black_pellet.png
30223,Cedar-scented Token,Curio,Charm,Common,None,Emberford,"Emberford charm curio: kept for superstition, often a vendor staple.",curio_cedar_scented_token.png
30224,Brine-cured Coat of Brine,Gear,Necklace,Common,Herbalism,Greatwood,"Greatwood necklace gear: kept for superstition, often a camp utility.",gear_brine_cured_coat_of_brine.png
30225,Salt-stained Tally,Curio,Token,Uncommon,None,Emberford,"Emberford token curio: used in field repairs, often a camp utility.",curio_salt_stained_tally.png
30226,Ash-dusted Dispatch,Document,Map Fragment,Common,None,Saltmarrow,"Saltmarrow map fragment document: carried for long treks, often a salt-proofing aid.",document_ash_dusted_dispatch.png
30227,Mire-touched Liniment,Consumable,Oil,Common,Engineering,Emberford,"Emberford oil consumable: rings softly when shaken, often a buff ingredient.",consumable_mire_touched_liniment.png
30228,Pine-sap Plank,Material,Stone,Rare,Engineering,Hollowroot,"Hollowroot stone material: recommended by old timers, often a quest turn-in.",material_pine_sap_plank.png
30229,Faded Nail,Material,Glass,Uncommon,Engineering,Emberford,"Emberford glass material: kept for superstition, often a armor patching.",material_faded_nail.png
30230,Windworn Badge,Curio,Mask,Rare,None,Hollowroot,"Hollowroot mask curio: favored by local scouts, often a trap component.",curio_windworn_badge.png
30231,Brine-cured Knot,Curio,Keepsake,Common,None,Emberford,"Emberford keepsake curio: recommended by old timers, often a quest turn-in.",curio_brine_cured_knot.png
30232,Windworn Badge,Curio,Charm,Uncommon,None,Emberford,"Emberford charm curio: valued for its clean burn, often a quest turn-in.",curio_windworn_badge.png
30233,Iron-banded Wire,Material,Fiber,Common,Herbalism,Frostbriar,"Frostbriar fiber material: rings softly when shaken, often a trap component.",material_iron_banded_wire.png
30234,Kelp-woven Token,Curio,Mask,Common,None,Glimmerdeep,"Glimmerdeep mask curio: traded at night markets, often a vendor staple.",curio_kelp_woven_token.png
30235,Salt-stained Lens,Curio,Tooling,Uncommon,None,Greatwood,"Greatwood tooling curio: recommended by old timers, often a trap component.",curio_salt_stained_lens.png
30236,Windworn Root,Ingredient,Grain,Common,Woodworking,Hollowroot,"Hollowroot grain ingredient: favored by local scouts, often a trap component.",ingredient_windworn_root.png
30237,Silt-grit Shortsword of the Trail,Gear,Trinket,Uncommon,Enchanting,Hollowroot,"Hollowroot trinket gear: carried for long treks, often a armor patching.",gear_silt_grit_shortsword_of_the_trail.png
30238,Sturdy Roster,Document,Letter,Common,None,Hollowroot,"Hollowroot letter document: used in field repairs, often a crafting reagent.",document_sturdy_roster.png
30239,Faded Handaxe of the Mire,Gear,Mace,Common,Herbalism,Greatwood,"Greatwood mace gear: a staple in cold camps, often a fishing bait.",gear_faded_handaxe_of_the_mire.png
30240,Ash-dusted Token,Curio,Game Piece,Rare,None,Frostbriar,"Frostbriar game piece curio: favored by local scouts, often a camp utility.",curio_ash_dusted_token.png
30241,Brine-cured Bandage Roll,Consumable,Salve,Common,Fishing,Frostbriar,"Frostbriar salve consumable: sought by apprentices, often a armor patching.",consumable_brine_cured_bandage_roll.png
30242,Worn Broth,Consumable,Oil,Common,Skinning,Hollowroot,"Hollowroot oil consumable: stains fingers dark, often a quest turn-in.",consumable_worn_broth.png
30243,Soot-black Biscuit,Consumable,Potion,Common,Woodworking,Emberford,"Emberford potion consumable: traded at night markets, often a quest turn-in.",consumable_soot_black_biscuit.png
30244,Iron-banded Fin,Ingredient,Insect,Common,Herbalism,Frostbriar,"Frostbriar insect ingredient: common among dockhands, often a fishing bait.",ingredient_iron_banded_fin.png
30245,Salt-stained Gland,Ingredient,Mushroom,Uncommon,Fishing,Hollowroot,"Hollowroot mushroom ingredient: a staple in cold camps, often a vendor staple.",ingredient_salt_stained_gland.png
30246,Mire-touched Token,Curio,Keepsake,Common,None,Emberford,"Emberford keepsake curio: kept for superstition, often a quest turn-in.",curio_mire_touched_token.png
30247,Roughspun Bolt,Material,Fiber,Common,Engineering,Hollowroot,"Hollowroot fiber material: rings softly when shaken, often a trap component.",material_roughspun_bolt.png
30248,Cedar-scented Spore,Ingredient,Fish,Common,Alchemy,Hollowroot,"Hollowroot fish ingredient: stains fingers dark, often a alchemy base.",ingredient_cedar_scented_spore.png
30249,Windworn Tallow,Material,Glass,Common,Skinning,Frostbriar,"Frostbriar glass material: valued for its clean burn, often a camp utility.",material_windworn_tallow.png
30250,Mossy Page,Document,Map Fragment,Common,None,Glimmerdeep,"Glimmerdeep map fragment document: traded at night markets, often a buff ingredient.",document_mossy_page.png
30251,Roughspun Lens,Curio,Keepsake,Rare,None,Saltmarrow,"Saltmarrow keepsake curio: rings softly when shaken, often a fishing bait.",curio_roughspun_lens.png
30252,Mire-touched Gland,Ingredient,Root,Uncommon,Enchanting,Hollowroot,"Hollowroot root ingredient: packed for storms, often a trap component.",ingredient_mire_touched_gland.png
30253,Silt-grit Tonic,Consumable,Bandage,Common,Engineering,Glimmerdeep,"Glimmerdeep bandage consumable: a staple in cold camps, often a armor patching.",consumable_silt_grit_tonic.png
30254,Tin-chimed Voucher,Document,Letter,Rare,None,Frostbriar,"Frostbriar letter document: carried for long treks, often a buff ingredient.",document_tin_chimed_voucher.png
30255,Mossy Nail,Material,Fiber,Rare,Skinning,Glimmerdeep,"Glimmerdeep fiber material: favored by local scouts, often a ritual prop.",material_mossy_nail.png
30256,Iron-banded Thread,Material,Stone,Common,Mining,Frostbriar,"Frostbriar stone material: recommended by old timers, often a camp utility.",material_iron_banded_thread.png
30257,Soot-black Bud,Ingredient,Sap,Uncommon,Fishing,Greatwood,"Greatwood sap ingredient: smells faintly of cedar, often a fishing bait.",ingredient_soot_black_bud.png
30258,Salt-stained Draft,Consumable,Salve,Common,Engineering,Greatwood,"Greatwood salve consumable: sought by apprentices, often a crafting reagent.",consumable_salt_stained_draft.png
